org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationPluralWords()
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
[33,2,3,17,27,28,29,30,31,32,34]
